These are the results for a poplation of size 100 who 20 times have jumped 10 generations.
For each generation, 100 PMX operations create as many offspring as parents.
After each 100 PMX operation, an elitist filter is applied to keep the population static and only the best solutions available. 
The sequences are printed to terminal since I'm having trouble writing them to file.
path lengths    sequences: 
  7503.10        0941526837
  7503.10        0941623857
  7503.10        0931524867
  7503.10        6943125807
  7503.10        0941356827
  7503.10        0941365827
  7503.10        4901625837
  7503.10        6903125847
  7503.10        0951324867
  7503.10        0941625837
  7503.10        0931526847
  7503.10        0941623857
  7503.10        0941623857
  7503.10        0941526837
  7791.89        4901265837
  8005.72        0945126837
  8005.72        0941625837
  8005.72        0945126837
  8265.87        0921564837
  8265.87        0941625837
  8300.25        0941526837
  8300.25        0941526837
  9148.14        0946125837
  9148.14        0941265837
  9148.14        0941526837
  9148.14        4901635827
  9148.14        4961023857
  9148.14        0951324867
  9148.14        4901635827
  9148.14        0941623857
  9148.14        0941623857
  9153.88        0941625837
  9153.88        4951306827
  9153.88        4951306827
  9153.88        0941526837
  9153.88        0941625837
  9153.88        0941362857
  9153.88        0931625847
  9153.88        6943125807
  9153.88        0941356827
  9153.88        0941635827
  9153.88        0931264857
  9153.88        0931264857
  9153.88        0941526837
  9153.88        0941562837
  9153.88        5940126837
  9153.88        5940126837
  9153.88        0941625837
  9153.88        0941526837
  9153.88        0941526837
  9153.88        4961023857
  9153.88        4961023857
  9153.88        0941526837
  9153.88        0951624837
  9153.88        0941625837
  9153.88        0941625837
  9153.88        0941263857
  9153.88        0941623857
  9642.58        0934125867
  9760.21        0951624837
  9766.29        0941623857
  9806.09        0931624857
  9806.09        0945621837
  9806.09        0941526837
  9829.33        0931265847
  9965.73        0934125867
  9965.73        0934125867
  9965.73        4901625837
  10025.25        0941265837
  10025.25        4901635827
  10025.25        4901625837
  10081.75        0951324867
  10081.75        3904125867
  10081.75        3904125867
  10163.34        0941625837
  10238.19        0941625837
  10238.19        4901265837
  10238.19        0941265837
  10238.19        4951306827
  10238.19        0946123857
  10238.19        0945621837
  10238.19        0941625837
  10238.19        0941635827
  10238.19        4901625837
  10238.19        4901625837
  10238.19        4901625837
  10238.19        6903125847
  10238.19        0961243857
  10240.83        0941625837
  10240.83        0931265847
  10240.83        0941625837
  10240.83        0941625837
  10240.83        5940126837
  10240.83        5940126837
  10240.83        0961243857
  10315.69        0941625837
  10315.69        0941265837
  10315.69        0941625837
  10315.69        5940126837
  10315.69        0941562837
 
