These are the results for a poplation of size 1000 who 20 times have jumped 10 generations.
For each generation, 1000 PMX operations create as many offspring as parents.
After each 1000 PMX operation, an elitist filter is applied to keep the population static and only the best solutions available. 
The sequences are printed to terminal since I'm having trouble writing them to file.
path lengths    sequences: 
  16134.48        19141061131715181316712022549201232821
  16481.43        19141061171715120163181322549201232821
  16664.47        23141662031315102218712017149215192811
  18073.74        17154321314121082201911120169185621237
  18122.80        14121519171176318805121321161092322420
  18122.80        12010611151618822135192014149231723217
  18255.51        23141021131715181316712022549201196821
  18255.51        23142611317151813167120225492011910821
  18255.51        17716182360925211514121311481101932022
  18427.57        19210141131715181316712022549201236821
  18434.65        17156311210192141071612224185131239208
  18688.32        51118161023143261371222211511749198020
  18786.90        08221223211710145161196234920151171813
  18805.37        19141061131715181316712022549201232821
  18805.37        08221222023461451611110211739151971813
  19342.44        17721623183821410152212111345116190209
  19350.97        20827115176211318220101216491152319314
  19399.35        15721912183821410176013114511619232022
  19399.35        21210203419172314220131281619156571811
  19644.92        23192622581518131479021201612341710111
  19655.57        21151071416170181323412823652211911209
  19681.58        17110615111882101671412954132202219323
  19915.92        20154231182221061617141121387131291905
  20053.52        71310311912161858151420191261722234021
  20397.80        18132312141511910170619221416215372820
  20397.80        11410122515180138320224117916192161723
  20397.80        19141311153175181017122228496162302021
  20492.28        17120614152102213232312816754199111018
  20522.36        17141061122911658131203192021415232718
  20572.51        19111563171411812108509421320212216723
  20652.46        21811811161901413121722510263492371520
  20714.40        10142261139512171613151084232019721821
  20885.06        71926222011013916312150541718821111423
  20897.69        15171221111368101163022205141819723249
  20929.62        71310311912161817815142019126542322021
  20931.90        19112290314211813121056820715412316217
  21004.54        19751221390183201123614101714152116822
  21040.28        20111091317211618583112614219152223407
  21040.28        12223182131501319871411220496165101217
  21206.38        14221531218061751072111316821412319209
  21207.07        17721623183821410151112135491161902022
  21403.33        21181032011715216227120135491161914823
  21435.72        12316181312212052240152817199147610113
  21490.33        89101319416126322014215711171520231821
  21596.32        41323121415119101701619221186521372820
  21667.97        15174201113221810114120621716219358239
  21865.94        19141031262311171318207222116594182015
  21883.96        21231181116190141312822510763491721520
  21932.03        17610020841471123919121521181312316522
  21962.75        19182281511146211317012175420102231639
  22130.60        20111091332316185871412191222176214015
  22209.87        15171014322821181216513014692019112237
  22262.62        22326112011013916191215054171882171423
  22362.25        19142217153186211680121754201022313119
  22403.38        11019134522171412167156223391118021820
  22431.61        81022631614918527013141220151921171123
  22431.61        10217221111485915194233171312201662180
  22547.10        40891212115225113146131018191716232720
  22547.10        15171221111368101163022205141819723249
  22647.75        22207623019141291118151417161358102123
  22659.51        08241220131719316511122236971510141821
  22671.11        69101319716815122014251841120317232112
  22867.76        21151720140199187231216221354823101611
  22867.76        71410111501391820233422511719161262821
  22961.72        17721623183810222151112135491161902014
  23010.30        82071511306211291722181421613195101423
  23062.56        53131216228151812120107011172142319649
  23079.00        82109230161513141151822346192011721712
  23112.68        16102218211912231448713265911130171520
  23118.87        03101911786181321522121171421615239204
  23129.65        12210614198073112112216234920185171315
  23129.65        91166113812144187201510135192117232022
  23140.39        31710642114151813127161225119202190823
  23150.01        12320136152101816832251074141112921917
  23250.84        82071115406211292182219317161351101423
  23294.72        67102030199214174112211613211581823125
  23360.89        41911113321182520716815010239146221217
  23405.97        21522941881114191012166173135201237021
  23473.12        81546231211318201272022145173161991110
  23473.12        12010611151618822135192014149231723217
  23500.73        20101290314211881611571319615412322217
  23562.01        14221531218020151072111316821417231969
  23631.08        08126220318101116511322214923151914177
  23650.88        23756220141218110160132122391141917815
  23663.00        17151061111882112167140135492202219323
  23677.47        11018122421913583022201171716151961423
  23844.82        12010611816151822135192014149231723217
  23847.81        23101618413151719118312022179205621421
  23900.57        17129111817201014166134223019155212823
  23939.16        20151317123216182210714111658241919023
  23988.40        21231020301916214641822191371581117125
  23994.80        10112261732114128180134201511659192327
  24058.32        19111553132191812108261442217201016723
  24125.69        23261903515181317111422416920121710821
  24139.19        17721823181162141015312135491161902022
  24224.45        19102311153175181417122228496161302021
  24252.58        20154231182221061617141121387131291905
  24260.25        08101822023176145161112221493151971213
  24424.17        67102011381181641722120139514152321921
  24429.58        11410611221317161598120319202145232718
  24450.83        23101618413151719118312022179205621421
  24457.80        20151061217183211613714112250241919823
  24457.80        23261903515181317111422421920121710816
  24464.00        20168711519172113181202221049115236314
  24474.51        11019134515121417167226223391118021820
  24474.51        19111563171411801082252120213471216923
  24474.51        16120181917119141568225101343712322021
  24608.47        22710611395121716131510842320191421821
  24608.47        21716187201423422211260138151015193119
  24725.88        11199622171553188014212132116101237420
  24725.88        90101112521152198714203166417123221813
  24753.32        21181011551320216227120173491161914823
  24755.25        19013621161518910171223541411222317820
  24787.17        41410211915138191667221180205323171221
  24833.04        23141163581518131974021201612229171021
  24966.30        19142261531782113160122751020412318119
  24986.65        23101618413151719118312022179205621421
  24986.65        23161939140118520171341067121122212158
  24989.37        03189161121121318201725415101422196723
  25013.71        13201622102314123871211211715184919605
  25049.30        69101319716188522014213411172320211512
  25049.30        11145222015219108167181312191706323241
  25049.30        19171061111415182216712313549200232821
  25049.30        11819131231726101671102254141592382021
  25059.46        19145610323111713182071581612941212022
  25100.94        19149320116818621171222215114513231070
  25123.58        69212118151316534232210171819114072021
  25137.97        41323121415119101721019221186516372820
  25183.89        19114938141181222171002120213155616723
  25239.63        17152221218111213842316919311420510607
